Site_ID,Asset_Type,Related_ID,File,Caption,Display_Order,External_URL,Embed_HTML,Notes
D1,current_photo,D1,detail_assets/photos/D1_photo_01.jpg,,1,,,
D1,current_photo,D1,detail_assets/photos/D1_photo_02.jpg,,2,,,
D2,current_photo,D2,detail_assets/photos/D2_photo_01.jpg,,1,,,
D2,current_photo,D2,detail_assets/photos/D2_photo_02.jpg,,2,,,
D2,current_photo,D2,detail_assets/photos/D2_photo_03.jpg,,3,,,
D2,current_photo,D2,detail_assets/photos/D2_photo_04.jpg,,4,,,
D2,drawing,D2,detail_assets/drawings/D2_drawing_01.jpg,Plan,1,,,
D3,current_photo,D3,detail_assets/photos/D3_photo_01.jpg,,1,,,
D3,current_photo,D3,detail_assets/photos/D3_photo_02.jpg,,2,,,
D4,current_photo,D4,detail_assets/photos/D4_photo_01.jpg,,1,,,
M020,old_photo,M020,detail_assets/oldphotos/OP_0170.jpg,Inner enclosure,2,,,
M020,old_photo,M020,detail_assets/oldphotos/OP_0207.jpg,Balustrade of inner enclosure,5,,,
K1,current_photo,K1,detail_assets/photos/K1_photo_01.jpg,,1,,,
K1,current_photo,K1,detail_assets/photos/K1_photo_02.jpg,,2,,,
K1,current_photo,K1,detail_assets/photos/K1_photo_03.jpg,,3,,,
K1,drawing,K1,detail_assets/drawings/K1_drawing_01.jpg,Plan,1,,,
K2,current_photo,K2,detail_assets/photos/K2_photo_01.jpg,,1,,,
K2,current_photo,K2,detail_assets/photos/K2_photo_02.jpg,,2,,,
K2,current_photo,K2,detail_assets/photos/K2_photo_03.jpg,,3,,,
K2,drawing,K2,detail_assets/drawings/K2_drawing_01.jpg,Plan,1,,,
K2,drawing,K2,detail_assets/drawings/K2_drawing_02.jpg,North Elevation,2,,,
K3,current_photo,K3,detail_assets/photos/K3_photo_01.jpg,,1,,,
K3,drawing,K3,detail_assets/drawings/K3_drawing_01.jpg,Plan,1,,,
K4,current_photo,K4,detail_assets/photos/K4_photo_01.jpg,,1,,,
K4,current_photo,K4,detail_assets/photos/K4_photo_02.jpg,,2,,,
K4,current_photo,K4,detail_assets/photos/K4_photo_03.jpg,,3,,,
K4,drawing,K4,detail_assets/drawings/K4_drawing_01.jpg,Plan,1,,,
K5,current_photo,K5,detail_assets/photos/K5_photo_01.jpg,,1,,,
K5,current_photo,K5,detail_assets/photos/K5_photo_02.jpg,,2,,,
K5,current_photo,K5,detail_assets/photos/K5_photo_03.jpg,,3,,,
K5,drawing,K5,detail_assets/drawings/K5_drawing_01.jpg,Plan,1,,,
K6,current_photo,K6,detail_assets/photos/K6_photo_01.jpg,,1,,,
K6,current_photo,K6,detail_assets/photos/K6_photo_02.jpg,,2,,,
K6,current_photo,K6,detail_assets/photos/K6_photo_03.jpg,,3,,,
K6,current_photo,K6,detail_assets/photos/K6_photo_04.jpg,,4,,,
K6,current_photo,K6,detail_assets/photos/K6_photo_05.jpg,,5,,,
K6,current_photo,K6,detail_assets/photos/K6_photo_06.jpg,,6,,,
K6,current_photo,K6,detail_assets/photos/K6_photo_07.jpg,,7,,,
K6,current_photo,K6,detail_assets/photos/K6_photo_08.jpg,,8,,,
K6,current_photo,K6,detail_assets/photos/K6_photo_09.jpg,,9,,,
K6,current_photo,K6,detail_assets/photos/K6_photo_10.jpg,,10,,,
K6,current_photo,K6,detail_assets/photos/K6_photo_11.jpg,,11,,,
K6,current_photo,K6,detail_assets/photos/K6_photo_12.jpg,,12,,,
K6,current_photo,K6,detail_assets/photos/K6_photo_13.jpg,,13,,,
K6,current_photo,K6,detail_assets/photos/K6_photo_14.jpg,,14,,,
K6,current_photo,K6,detail_assets/photos/K6_photo_15.jpg,,15,,,
K6,drawing,K6,detail_assets/drawings/K6_drawing_01.jpg,Plan,1,,,
K7,current_photo,K7,detail_assets/photos/K7_photo_01.jpg,,1,,,
K7,current_photo,K7,detail_assets/photos/K7_photo_02.jpg,,2,,,
K7,current_photo,K7,detail_assets/photos/K7_photo_03.jpg,,3,,,
K7,current_photo,K7,detail_assets/photos/K7_photo_04.jpg,,4,,,
K7,current_photo,K7,detail_assets/photos/K7_photo_05.jpg,,5,,,
K7,current_photo,K7,detail_assets/photos/K7_photo_06.jpg,,6,,,
K7,drawing,K7,detail_assets/drawings/K7_drawing_01.jpg,Plan,1,,,
K8,current_photo,K8,detail_assets/photos/K8_photo_01.jpg,,1,,,
K8,current_photo,K8,detail_assets/photos/K8_photo_02.jpg,,2,,,
K8,drawing,K8,detail_assets/drawings/K8_drawing_01.jpg,Plan,1,,,
KH1,current_photo,KH1,detail_assets/photos/KH1_photo_01.jpg,,1,,,
KH1,current_photo,KH1,detail_assets/photos/KH1_photo_02.jpg,,2,,,
KH1,current_photo,KH1,detail_assets/photos/KH1_photo_03.jpg,,3,,,
